name,Country,Species,Casecode,Period,Decade,Type,Full reference,Study area,Study period,Survey method,Language
Larus fuscus,AT,A183,ATA183,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Larus fuscus,AT,A183,ATA183,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Larus fuscus,AT,A183,ATA183,Migration,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Columba livia,AT,A206,ATA206,Reproduction,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Larus fuscus,AT,A183,ATA183,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Larus fuscus,AT,A183,ATA183,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Columba oenas,AT,A207,ATA207,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Columba oenas,AT,A207,ATA207,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Columba palumbus,AT,A208,ATA208,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Columba palumbus,AT,A208,ATA208,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Streptopelia decaocto,AT,A209,ATA209,Reproduction,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Streptopelia decaocto,AT,A209,ATA209,Reproduction,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Streptopelia turtur,AT,A210,ATA210,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Streptopelia turtur,AT,A210,ATA210,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Alauda arvensis,AT,A247,ATA247,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Turdus merula,AT,A283,ATA283,Both,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Turdus merula,AT,A283,ATA283,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Turdus pilaris,AT,A284,ATA284,Both,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Turdus pilaris,AT,A284,ATA284,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Turdus philomelos,AT,A285,ATA285,Both,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Turdus philomelos,AT,A285,ATA285,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Turdus iliacus,AT,A286,ATA286,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Turdus iliacus,AT,A286,ATA286,Migration,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Turdus viscivorus,AT,A287,ATA287,Both,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Turdus viscivorus,AT,A287,ATA287,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Garrulus glandarius,AT,A342,ATA342,Reproduction,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Corvus monedula,AT,A347,ATA347,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Corvus frugilegus,AT,A348,ATA348,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Corvus frugilegus,AT,A348,ATA348,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Corvus frugilegus,AT,A348,ATA348,Reproduction,,Publication: article,"Ranner, A., M. Dvorak, M. Gattermayr, O. Samwald & C. Schütz (2010): Brutbestandsentwicklung der Saatkrähe (Corvus frugilegus) im Burgenland von 2005 bis 2010. Vogelkundl. Nachr. Ostösterreich 21: 11-17.",part of a country,2005-2010,research,german
Corvus frugilegus,AT,A348,ATA348,Reproduction,,Other,"A. Ranner, unpubl. Survey",part of a country,2005-ongoing,research,german
Corvus corone,AT,A349,ATA349,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Sturnus vulgaris,AT,A351,ATA351,Both,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Sturnus vulgaris,AT,A351,ATA351,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Larus cachinnans,AT,A459,ATA459,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Larus cachinnans,AT,A459,ATA459,Migration,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Larus argentatus,AT,A184,ATA184,Migration,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Larus michahellis,AT,A604,ATA604,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Larus fuscus,AT,A183,ATA183,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Larus fuscus,AT,A183,ATA183,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Aythya marila,AT,A062,ATA062,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Aythya marila,AT,A062,ATA062,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Anas querquedula,AT,A055,ATA055,Both,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Anas querquedula,AT,A055,ATA055,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Anas clypeata,AT,A056,ATA056,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Anas clypeata,AT,A056,ATA056,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Anas clypeata,AT,A056,ATA056,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Netta rufina,AT,A058,ATA058,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Netta rufina,AT,A058,ATA058,Reproduction,,Other,"A. Schuster, unpubl. Survey",part of a country,1990 - ongoing,research,german
Aythya ferina,AT,A059,ATA059,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Larus canus,AT,A182,ATA182,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Larus canus,AT,A182,ATA182,Reproduction,,Publication: book,"Kilzer, R., G. Willi & G. Kilzer (2011): Atlas der Brutvögel Vorarlbergs. BirdLife Österreich - Landesgruppe Vorarlberg, Hohenems, 443 p.",part of a country,2001-2008,citizen science,german
Larus michahellis,AT,A604,ATA604,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Larus michahellis,AT,A604,ATA604,Reproduction,,Publication: book,"Kilzer, R., G. Willi & G. Kilzer (2011): Atlas der Brutvögel Vorarlbergs. BirdLife Österreich - Landesgruppe Vorarlberg, Hohenems, 443 p.",part of a country,2001-2008,citizen science,german
Meleagris gallopavo,AT,A460,ATA460,Reproduction,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Anser albifrons,AT,A041,ATA041,Migration,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Anser albifrons,AT,A041,ATA041,Migration,,Publication: article,"Laber, J. & A. Pellinger (2008): Die durchziehenden und überwinternden Gänsebestände der Gattung Anser und Branta im Nationalpark Neusiedler See - Seewinkel. Egretta 49: 35-51",individual site,1983-2006,regular census,german
Anas penelope,AT,A050,ATA050,Migration,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Anas penelope,AT,A050,ATA050,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Anas penelope,AT,A050,ATA050,Migration,,Publication: book,"Feldner, J., W. Petutschnig, R. Probst, S. Wagner, G. Malle & R. K. Buschenreiter (2008): Avifauna Kärntnes - Bd. 2: Die Gastvögel. Naturwissenschaftlicher Verein für Kärnten, Klagenfurt, 464 p.",part of a country,all data until 2007,data analysis,german
Anas strepera,AT,A051,ATA051,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Anas crecca,AT,A052,ATA052,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Anas crecca,AT,A052,ATA052,Reproduction,,Other,"A. Schuster, unpubl. Surveys",part of a country,1990-ongoing,research,german
Anas platyrhynchos,AT,A053,ATA053,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Anas acuta,AT,A054,ATA054,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Anas acuta,AT,A054,ATA054,Migration,,Publication: book,"Heine, G., H. Jacoby, H. Leuzinger & H. Stark (1999): Die Vögel des Bodenseegebietes. Orn. Jh. Bad.-Württ. 14/15, 847 p.",individual site,1960-1995,"monitoring, census, citizen science",german
Anas querquedula,AT,A055,ATA055,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Aythya ferina,AT,A059,ATA059,Both,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Aythya fuligula,AT,A061,ATA061,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Aythya fuligula,AT,A061,ATA061,Migration,,Publication: book,"Albegger, E., O. Samwald, H. W. Pfeifhofer, S. Zinko, J. Ringert, P. Kolleritsch, M. Tiefenbach, C. Neger, J. Feldner, J. Brandner, F. Samwald & W. Stani (2015): Avifauna Steiermark - Die Vögel der Steiermark. BirdLife Österreich - Landesgruppe Steiermark",part of a country,all data until 2014,data analysis,german
Bucephala clangula,AT,A067,ATA067,Both,,Web-material,BirdLife Österreich/www.ornitho.at: https://www.ornitho.at/,country,2013-2018,citizen science,german
Bucephala clangula,AT,A067,ATA067,Reproduction,,Other,"A. Schuster,Unpubl. Survey",part of a country,1990-ongoing,research,german
